id,name,level,personality,type,weakness,atk,def,hp,stage
53,Persian,40,mild,normal,fighting,104,116,147,2
126,Magmar,44,docile,fire,water,96,83,153,1
99,Kingler,33,adamant,water,electric,110,169,29,2
57,Primeape,9,lonely,fighting,flying,20,66,43,2
3,Venusaur,44,sassy,grass,fire,136,195,92,3
23,Ekans,81,hasty,poison,psychic,30,108,20,1
11,Metapod,4,naive,grass,fire,30,114,22,2
126,Magmar,96,modest,fire,water,62,114,155,1
137,Porygon,96,relaxed,normal,fighting,68,50,127,1
69,Bellsprout,84,lonely,grass,fire,149,32,45,1
10,Caterpie,3,serious,bug,flying,7,10,15,1
12,Butterfree,12,hasty,bug,flying,20,25,35,3
35,Clefairy,18,impish,fairy,poison,33,25,50,1
23,Ekans,15,Jolly,poison,psychic,40,15,35,1
59,Arcanine,35,gentle,fire,water,45,60,80,2
80,Slowbro,54,modest,psychic,dark,72,192,171,2
121,Starmie,76,hardy,water,electric,34,194,131,2
111,Rhyhorn,31,naughty,rock,water,40,116,175,1
136,Flareon,75,bold,fire,water,67,143,103,2
83,Farfetch'd,49,jolly,flying,electric,50,34,129,1
94,Gengar,30,mild,ghost,dark,138,126,90,3
51,Dugtrio,82,gentle,ground,water,152,161,168,2
63,Abra,84,careful,psychic,dark,152,156,44,1
38,Ninetales,5,brave,fire,water,59,179,173,2
119,Seaking,63,jolly,water,electric,65,107,149,2
54,Psyduck,89,jolly,water,electric,194,187,125,1
139,Omastar,51,naive,water,electric,195,19,70,2
34,Nidoking,18,timid,poison,psychic,155,143,63,3
72,Tentacool,89,impish,water,electric,19,76,195,1
102,Exeggcute,88,rash,grass,fire,44,124,139,1
95,Onix,46,mild,rock,water,79,33,191,1
134,Vaporeon,65,bashful,grass,fire,103,125,129,3
21,Spearow,64,rash,flying,electric,189,23,47,1
34,Nidoking,95,naughty,poison,psychic,160,102,190,3
60,Poliwag,14,gentle,water,electric,34,124,25,1
114,Tangela,52,quiet,grass,fire,151,166,84,1
53,Persian,42,quiet,normal,fighting,169,152,27,2
54,Psyduck,54,naughty,water,electric,84,19,183,1
78,Rapidash,60,brave,fire,water,161,196,62,2
130,Gyarados,39,adamant,water,electric,35,181,188,2
28,Sandslash,12,quiet,ground,water,103,50,128,2
87,Dewgong,37,impish,water,electric,187,184,190,2
71,Victreebel,100,gentle,grass,fire,185,190,89,3
34,Nidoking,88,serious,poison,psychic,147,192,141,3
2,Ivysaur,80,docile,grass,fire,42,131,165,2
30,Nidorina,10,quiet,poison,psychic,185,22,137,2
42,Golbat,92,serious,poison,psychic,126,195,31,2
110,Weezing,4,adamant,poison,psychic,54,52,81,2
108,Lickitung,68,calm,normal,fighting,124,169,125,1
134,Vaporeon,65,bold,grass,fire,34,67,60,3
60,Poliwag,28,quiet,water,electric,180,156,87,1
22,Fearow,79,hardy,flying,electric,166,23,181,2
52,Meowth,27,naughty,normal,fighting,170,169,143,1
16,Pidgey,53,serious,flying,electric,48,96,82,1
118,Goldeen,10,relaxed,water,electric,20,123,44,1
14,Kakuna,92,impish,grass,fire,72,150,48,2
5,Charmeleon,27,rash,fire,water,72,26,51,2
140,Kabuto,88,bashful,rock,grass,125,167,153,1
84,Doduo,64,serious,flying,electric,168,129,155,1
73,Tentacruel,36,lonely,water,electric,186,51,148,2
51,Dugtrio,57,hardy,ground,water,139,155,162,2
133,Eevee,97,lax,normal,fighting,127,154,184,1
79,Slowpoke,38,bashful,psychic,dark,161,61,154,1
132,Ditto,10,brave,normal,fighting,160,167,127,1
114,Tangela,5,bold,grass,fire,172,59,175,1
49,Venomoth,99,careful,bug,fire,48,188,53,2
78,Rapidash,73,naughty,fire,water,137,46,93,2
69,Bellsprout,73,quiet,grass,fire,97,34,129,1
8,Wartortle,29,hardy,water,grass,98,190,33,2
93,Haunter,45,adamant,ghost,dark,72,143,170,2
129,Magikarp,41,hasty,water,electric,142,171,46,1
11,Metapod,80,quiet,grass,fire,66,116,28,2
95,Onix,85,docile,rock,water,88,158,174,1
51,Dugtrio,43,impish,ground,water,47,72,196,2
42,Golbat,34,brave,poison,psychic,166,134,152,2
35,Clefairy,67,sassy,fairy,poison,92,123,137,1
121,Starmie,67,sassy,water,electric,174,56,113,2
113,Chansey,78,brave,normal,fighting,37,99,167,1
92,Gastly,77,rash,ghost,dark,54,139,29,1
75,Graveler,22,impish,rock,water,80,146,200,2
73,Tentacruel,87,serious,water,electric,60,170,133,2
12,Butterfree,8,impish,flying,fire,44,114,135,3
6,Charizard,55,timid,fire,water,110,66,71,3
125,Electabuzz,37,hardy,electric,ground,64,62,158,1
61,Poliwhirl,26,hardy,water,electric,85,43,197,2
57,Primeape,51,adamant,fighting,flying,200,106,123,2
146,Moltres,62,naughty,fire,rock,65,155,49,1
59,Arcanine,59,bashful,fire,water,75,54,93,2
86,Seel,17,bashful,water,electric,27,91,126,1
102,Exeggcute,98,calm,grass,fire,51,177,103,1
39,Jigglypuff,95,naughty,fairy,poison,104,79,182,1
102,Exeggcute,9,adamant,grass,fire,123,165,50,1
58,Growlithe,28,impish,fire,water,183,172,144,1
41,Zubat,38,naive,poison,psychic,174,145,125,1
74,Geodude,31,impish,rock,water,117,138,100,1
97,Hypno,38,naive,psychic,dark,126,53,55,2
106,Hitmonlee,29,careful,fighting,flying,79,126,34,1
59,Arcanine,5,hardy,fire,water,159,173,74,2
131,Lapras,72,lax,water,electric,107,113,29,1
139,Omastar,31,relaxed,water,electric,138,26,21,2
51,Dugtrio,10,bashful,ground,water,142,176,120,2
19,Rattata,25,serious,normal,fighting,47,84,183,1
3,Venusaur,67,naive,grass,fire,145,85,35,3
29,Nidoran(F),46,calm,poison,psychic,56,93,126,1
138,Omanyte,37,careful,water,electric,141,200,96,1
124,Jynx,21,modest,psychic,dark,111,93,185,1
53,Persian,87,jolly,normal,fighting,74,116,172,2
59,Arcanine,69,jolly,fire,water,35,28,20,2
110,Weezing,30,bold,poison,psychic,168,29,151,2
11,Metapod,17,mild,grass,fire,191,127,147,2
76,Golem,78,hardy,rock,water,65,145,137,3
116,Horsea,69,mild,water,electric,49,36,45,1
6,Charizard,89,lax,fire,water,165,100,108,3
65,Alakazam,33,impish,psychic,dark,67,39,169,3
120,Staryu,73,hardy,water,electric,30,91,158,1
